fechas,idHoras,EC_Abrera,EC_suriaDesf,QBaells_Desf,QBalsanery_Desf,QBerga_Desf,QCardona_Desf,QSuria_Desf,Prep_Desf
42894.5417,59161,1558.3800,3502.3600,4.6810,5.6830,6.8100,3.3560,1.1180,0.0000
42894.5833,59162,1540.2000,3505.4700,4.6770,3.7950,6.9420,3.2890,1.5460,0.0000
42894.6250,59163,1521.1700,3532.7800,4.6770,5.6960,6.9210,3.2890,1.6010,0.0000
42894.6667,59164,1502.0900,3440.3200,4.1640,4.8930,6.9880,3.3570,1.6050,0.0000
42894.7083,59165,1486.5000,3447.3600,4.1590,3.9140,7.0670,3.3570,1.5750,0.0000
42894.7500,59166,1474.8600,3409.3600,3.6760,5.2550,7.0840,3.3570,1.5710,0.0000
42894.7917,59167,1452.7500,3459.8100,3.6790,4.3360,7.1910,3.3570,1.5680,0.0000
42894.8333,59168,1436.5700,3477.3800,3.6720,5.6970,7.1340,3.3570,1.5660,0.0000
42894.8750,59169,1419.6500,3421.3100,3.6740,5.6980,7.2270,3.3580,1.5680,0.0000
42894.9167,59170,1399.0500,3430.4000,3.6770,5.6600,7.1040,3.3570,1.5680,0.0000
42894.9583,59171,1388.2000,3381.4800,3.6760,5.6230,7.3440,3.3570,1.5700,0.0000
42895.0000,59172,1369.0800,3277.3300,3.6750,5.6120,7.4720,3.3570,1.5530,0.0000
42895.0417,59173,1358.0800,3403.4900,3.6690,5.6450,7.4900,3.3580,1.7870,0.0000
42895.0833,59174,1343.5800,3374.3800,3.6720,5.7020,7.5480,3.3570,1.7820,0.0000
42895.1250,59175,1331.1800,3352.8500,3.6750,5.5890,7.3830,3.3570,1.7800,0.0000
42895.1667,59176,1315.1100,3349.7900,3.6710,5.5930,7.2130,3.0660,1.7400,0.0000
42895.2083,59177,1308.4300,3384.4800,3.6710,5.6210,7.1440,3.3710,1.5110,0.0000
42895.2500,59178,1297.1500,3359.6300,3.6710,5.5610,6.8110,3.2890,1.4810,0.0000
42895.2917,59179,1286.1100,3348.9300,3.6710,5.6020,6.5210,3.4110,1.4800,0.0000
42895.3333,59180,1278.0900,3316.5800,3.6630,5.5630,6.6720,3.2890,1.4790,0.0000
42895.3750,59181,1276.5800,3355.4500,3.6770,5.6180,6.7110,3.3570,1.4870,0.0000
42895.4167,59182,1277.0000,3331.0000,3.6890,5.6230,6.3100,3.2890,1.4900,0.0000
42895.4583,59183,1273.8900,3350.9800,3.6850,5.6070,6.0420,3.3620,1.4960,0.0000
42895.5000,59184,1282.9800,3354.6000,3.6870,5.6930,5.8780,3.2890,1.5030,0.0000
42895.5417,59185,1286.0000,3297.7600,3.6840,5.6750,5.7870,3.2890,1.3650,0.0000
42895.5833,59186,1277.6000,3336.5600,3.6790,5.6580,5.7570,3.3650,1.2370,0.0000
42895.6250,59187,1274.9600,3334.5900,3.6790,5.6510,5.7330,3.3650,1.3330,0.0000
42895.6667,59188,1278.4100,3359.8900,3.6720,5.1960,5.7960,3.3650,1.4810,0.0000
42895.7500,59190,1278.1600,3325.5000,3.6720,3.7750,5.8400,3.3650,1.5520,0.0000
42895.7917,59191,1276.2600,3283.2300,3.6710,5.3660,5.8290,3.3650,1.5590,0.0000
42895.8333,59192,1277.6400,3330.9900,3.6710,5.5790,5.9320,3.4330,1.5560,0.0000
42895.8750,59193,1272.6700,3295.0900,3.6670,5.6420,5.8720,3.3650,1.5590,0.0000
42895.9167,59194,1271.3000,3323.5100,3.6690,5.6460,5.8140,3.3650,1.5610,0.0000
42895.9583,59195,1272.4000,3277.8900,3.6580,5.5970,5.9060,3.3650,1.5560,0.0000
42896.0000,59196,1270.9300,3288.9300,3.6650,5.5820,5.7020,3.3650,1.5540,0.0000
42896.0417,59197,1273.2800,3273.3300,3.6660,5.6080,5.5980,3.3650,1.5390,0.0000
42896.0833,59198,1266.6700,3251.0400,3.6640,5.6100,5.8080,3.3650,1.5230,1.3000
42896.1250,59199,1260.6000,3218.9600,3.6630,5.6230,5.8270,3.4330,1.4820,0.0000
42896.1667,59200,1260.1900,3231.6500,3.6650,5.5650,5.8240,3.3650,1.4610,0.0000
42896.2083,59201,1256.2600,3285.3700,3.6650,5.5880,5.8900,3.3650,1.4610,0.0000
42896.2500,59202,1251.2000,3220.6200,3.6670,5.6010,5.8170,3.3650,1.4340,0.0000
42896.2917,59203,1249.3400,3187.0700,3.6690,5.5860,5.8190,3.5080,1.4290,0.0000
42896.3333,59204,1245.7800,3251.5800,3.6690,5.5740,5.8380,3.3650,1.4320,0.0000
42896.3750,59205,1243.0000,3235.1600,3.6730,5.6210,5.8350,3.2970,1.7400,0.0000
42896.4167,59206,1245.7000,3204.6200,3.6770,5.6340,5.8730,3.3650,1.7850,0.0000
42896.4583,59207,1243.0000,3208.3200,3.6720,5.6380,5.8640,3.1590,1.5490,0.0000
42896.5000,59208,1247.2000,3230.5500,3.6700,5.6700,5.7880,3.4330,1.4400,0.0000
42896.5417,59209,1247.9400,3189.1400,3.6750,5.7780,5.7720,3.2970,1.4070,0.0000
42896.5833,59210,1249.9400,3134.6200,3.6700,5.7040,5.7020,3.3230,1.4150,0.0000
42896.6250,59211,1253.5500,3206.8600,3.6730,4.6970,5.7590,3.4330,1.4520,0.0000
42896.6667,59212,1256.6800,3142.4500,3.6680,5.2130,5.9300,3.3660,1.5170,0.0000
42896.7083,59213,1254.6000,3121.7800,3.6710,4.2390,5.8680,3.4330,1.5550,0.0000
42896.7500,59214,1257.8300,3200.5800,3.6730,6.2090,5.7780,3.4340,1.3560,0.0000
42896.7917,59215,1254.1800,3115.3300,3.6720,5.6950,5.8360,3.4330,1.2800,0.0000
